brand,current_price,old_price,discount,description,ratings,times_reviewed,rom,ram,battery,camera,sim port,screen_dim,android_ver
XIAOMI,27499,42299,-35,Redmi Note 3 Used 3GB RAM+32GB ROM 4G LTE 90% New Used Smartphone 5.5 Inch Screen Face Detection-Grey,4.0,1,32.0,3.0,4000.0,13.0,Dual SIM,5.5,8.1
Oukitel,43699,53220,-18,C17 Pro 6.35” 4G 4GB RAM 64GB ROM Triple Rear Cameras EU Gradient,3.95,56,64.0,4.0,4000.0,13.0,Dual SIM,5.8,8.1
Gionee,63810,127620,-50,M7 Power ，6 Inch HD 5000mAh 4GB RAM 64GB ROM 13MP+8MP Hybrid Dual SIM Android 7.1 4G LTE Smartphone,4.0,24,64.0,4.0,5000.0,13.0,Dual SIM,6.0,7.1
Letv,33895,67790,-50,Letv LeEco Le 2 X526 5.5 Inch Quick Charge 3GB 64GB MSM8976 Snapdragon 652 1.8GHz Octa Core 4G Smartphone-GOLD,3.8,23,64.0,3.0,4000.0,13.0,Dual SIM,5.5,8.1
Infinix,50990,70000,-27,"HOT 8, 6.6 HD,Android 9, 32gb/2gb Ram,8MP,+Tripple Rear Camera,13MP+2MP,4G LTE,5000 Mah,Face Unlock, Fingerprint-cyan",4.2,17,32.0,4.0,5000.0,8.0,Dual SIM,5.8,9.0
Infinix,66000,70000,-6,"HOT 8 (X650D) 6.6 Inch HD+, 3GB RAM + 32GB ROM, 5000mAh, Android 9.0, 13 MP Triple, 4G,Face ID & Fingerprint - Black",5.0,1,32.0,3.0,5000.0,13.0,Dual SIM,6.6,9.0
Homtom,21999,39999,-45,S17 Android 8.1 Smartphone Quad Core 5.5inch Fingerprint Face Unlock 2G RAM 16G ROM 13MP+8MP Mobile Phone - GRAY,4.0,2,32.0,4.0,4000.0,13.0,Dual SIM,5.5,8.1
Letv,37500,85100,-56,Le Pro 3 X651 5.5 Inch AI Dual Rear Camera 4GB RAM 32GB ROM Helio X27 Deca Core 4G Smartphone,4.85,6,32.0,4.0,4000.0,13.0,Dual SIM,5.5,8.1
Gionee,56000,219999,-75,"M7 Power (4GB, 64GB ROM) 5000mAh, 13MP+8MP, Android 7.1, Dual Sim 4G LTE - Blue",3.0,2,64.0,4.0,5000.0,13.0,Dual Sim,5.8,7.1
Letv,33990,61330,-45,LeEco Le 2 X526 5.5 Inch Quick Charge 3GB 64GB Snapdragon 652 1.8GHz Octa Core 4G Smartphone-PINK,4.35,13,64.0,3.0,4000.0,13.0,Dual SIM,5.5,8.1
Gionee,29800,97296,-69,S10C 5.2 Inch HD 4GB RAM 32GB ROM 16MP+13MP Hybrid Dual SIM 4G LTE Smartphone 3100mA-Gold,3.85,75,32.0,4.0,4000.0,16.0,Dual SIM,5.2,8.1
Nokia,29000,39000,-26,"2.1(TA-1080DS) - 5.5"" Hd Display - 8gb Rom + 1gb Ram - 8mp + 5mp Camera - Dual Speakers - 4000mah Battery - Android 8.1 Oreo -blue Copper",4.6,38,32.0,4.0,4000.0,13.0,Dual SIM,5.5,8.1
Samsung,125000,0,0,"Galaxy A9 (2018) 6.3-Inch SAmoled (6GB, 128GB ROM),Android 8.0 Oreo, Quad Rear Cameras (24MP + 5MP + 10MP + 8MP) + 24MP ,4G LTE Dual SIM Smartphone - Black",4.4,11,128.0,6.0,4000.0,24.0,Dual SIM,6.3,8.0
Itel,31490,35000,-10,"P33 PLUS 6.0"", 5000mAh Battery, Android 8.1, (16GB ROM, 1GB), Dual Rear Camera, Fingerprint + FREE 32GB CARD & CASE- Gold",4.3,117,16.0,1.0,5000.0,13.0,Dual SIM,6.0,8.1
Tecno,23000,30000,-23,"F1 5-Inch (1GB, 8GB ROM) Android 8 Oreo (Go Edition), 5MP + 2MP Dual SIM 3G Smartphone - Gold",4.35,3,8.0,1.0,4000.0,5.0,Dual SIM,5.0,8.0
Nokia,46000,53000,-13,"4.2, 5.71-nches LCD (32GB ROM,3RAM) Android 9.0, (13MP+2MP)+ 8MP 3000mAh 4G LTE Smartphone - Black",4.45,9,32.0,4.0,3000.0,13.0,Dual SIM,5.8,9.0
Tecno,22000,0,0,"F1 5-Inch (1GB, 8GB ROM) Android 8.1 Go Edition), 5MP + 2MP Champagne Gold",4.0,2,8.0,1.0,4000.0,5.0,Dual SIM,5.0,8.1
XIAOMI,83500,0,0,"Redmi Note 8 6.3-Inch FHD (4GB RAM, 64GB ROM) Android 9.0 (48MP + 8MP + 2MP + 2MP) + 13MP 4G - Moonlight White",4.0,1,64.0,4.0,4000.0,48.0,Dual SIM,6.3,9.0
Itel,21244,24000,-11,"A32F 5"" Screen, Android 8.1, 8GB ROM + 1GB RAM, 5MP + 2MP Camera (+ Front Flash), Dual SIM Smartphone - Gold + Free Case",3.85,112,8.0,1.0,4000.0,5.0,Dual SIM,5.8,8.1
Samsung,29900,34990,-15,"Galaxy A2 Core 5"" 1GB RAM 16GB ROM 5MP + 5MP Camera Dual Sim 2600Mah  - Dark Gray",4.25,17,16.0,1.0,2600.0,5.0,Dual Sim,5.8,8.1
Infinix,49899,59500,-16,HOT 8 - ( 32GB ROM + 2GB RAM ) 4G LTE Smartphone - Quetzal Cyan,4.4,42,32.0,2.0,4000.0,13.0,Dual SIM,5.8,8.1
